# ALICE data for hadron yields, symmetrized between particles and antiparticles by taking the average
#     is_fitted           pdg1           pdg2      feeddown1      feeddown2          value          error
              1            211              0              1              0         668.75           47.5   # Table 3 in https://arxiv.org/pdf/1303.0737v3.pdf  
              1            321              0              1              0          99.75           8.25   # Table 3 in https://arxiv.org/pdf/1303.0737v3.pdf
              1            310              0              1              0            100              8   # Table 1 in https://arxiv.org/pdf/1307.5530v2.pdf
              1            333              0              1              0          12.75           1.59   # Table 2 in https://arxiv.org/pdf/1404.0495v3.pdf
              1           2212              0              1              0          30.75            2.5   # Table 3 in https://arxiv.org/pdf/1303.0737v3.pdf
              1           3122              0              1              0             24            2.5   # Table 1 in https://arxiv.org/pdf/1307.5530v2.pdf
              1           3312              0              1              0          3.335          0.238   # Table 1 in https://arxiv.org/pdf/1307.5543v3.pdf
              1           3334              0              1              0          0.595            0.1   # Table 1 in https://arxiv.org/pdf/1307.5543v3.pdf
              1     1000010020              0              1              0          0.097          0.018   # d yield from Table 3 in https://arxiv.org/pdf/1506.08951v3.pdf, anti-d reconstructed from anti-d/d ratio (Table 2), then symmetrized, see also http://ift.uni.wroc.pl/~cpod2016/PBM.pdf
              1     1000020030              0              1              0       0.000285        7.6e-05   # same procedure as for deuterons, rescaled from 0-20% to 0-10% using deuteron based factor 1.127, see http://ift.uni.wroc.pl/~cpod2016/PBM.pdf
              1     1010010030              0              1              0       0.000147        4.2e-05   # Table 3 in https://arxiv.org/pdf/1506.08453v2.pdf, B.R. = 25%
              1     1000020040              0              1              0        9.5e-07        4.8e-07   # Abstract of https://arxiv.org/pdf/1710.07531v1.pdf
